,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
R_A_43,1.503442431,0.986634096,0.563790912,0.610773488,0.892668944,1.550425007,2.771971983,3.664640927,4.894632331,6.013405435,6.106636527,5.547249975,5.920174343,6.572791987,6.899100809,6.479560895,5.733712159,6.153252073,6.619407533,5.911942,4.299594182,4.788184429,3.908721983,2.540669289
R_B_43,0.991969095,0.646936366,0.560678184,0.517549093,0.474420002,1.466389097,2.674003647,3.105294558,4.125003036,4.253909381,4.167971818,4.039065473,4.082034254,4.726565979,4.167971818,4.425784507,4.683597197,5.371097703,5.02734745,4.659713752,3.772149228,4.038418585,3.283988739,2.307667763
R_C_43,1.648846974,1.128158456,0.520688518,0.997986326,1.041377036,1.171549166,2.429879751,3.124131108,4.856359252,5.739333661,5.209549016,5.518590059,6.092523425,6.843051673,6.622308071,6.136672146,5.518590059,6.401564468,6.048374705,5.620320949,4.226481354,4.226481354,3.417155137,2.742716623
R_D_43,1.024537091,0.532759287,0.368833353,0.614722255,0.737666705,1.188463026,2.131037149,2.950666822,3.538054828,3.81323687,3.655989989,3.577366548,4.049107192,4.127730633,4.049107192,3.970483751,4.402912675,4.638782997,4.245665794,3.944981926,3.353234637,3.866082288,3.037636083,2.011940782
R_E_43,2.3360466,1.960610539,1.585174478,2.169186128,3.337209428,3.629215253,4.129796667,3.420639664,4.608450018,6.007443774,5.637121897,5.884003148,6.336618775,6.460059401,6.665793776,6.460059401,6.130884399,7.118409403,6.460059401,5.50480058,4.724592624,4.594557964,4.724592624,3.337556257
R_A_B_43,0.515649044,0.572943382,0.343766029,0.286471691,1.375064117,2.005301837,1.203181102,0.057294338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057294338
R_B_A_43,1.150825002,0.93162024,1.205626193,0.767216668,0.383608334,0.767216668,0.383608334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219204762
R_C_D_43,1.187313769,1.187313769,1.241282576,1.349220192,2.860346806,2.752409191,1.61906423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107937615
